"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"6836","Crosswinds Rubys Glory",6000,"Mare","16.3 hands","Palomino","Coshocton, Ohio","hind socks","1300 pounds","Jan-08","international georgian grande registry ()","Breeding (Prospect) Dressage (Trained) Driving (Prospect) Eventing (Trained) Jumper (Trained)",5,"http://www.equine.com/horses-for-sale/horse-ad-2840698.html"
"8311","Rockin Willie",1500,"Stallion","6.0 hands","Other","Salem, Ohio","Black and White","","Apr-03","TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (20306131)","Breeding (Prospect) Western Pleasure (Show) (Rank Not Applicable) Halter (Trained) Gaited (Prospect) Showmanship (Prospect)",9,"http://www.equine.com/horses-for-sale/horse-ad-2811803.html"
"3789","Dark Venture",6500,"Gelding","16.2 hands","Bay","Powder Springs, Georgia","","1200 pounds","May-98","","Dressage (Competed or Shown) Jumper (Competed or Shown) Eventing (Champion)",5,"http://www.equine.com/horses-for-sale/horse-ad-2786896.html"
"3852","Silver Moon Shadow",1500,"Gelding","15.0 hands","Grey","Myersville, Maryland","","","May-07","IALHA - International Andalusian & Lusitano Horse Association ()","",3,"http://www.equine.com/horses-for-sale/horse-ad-2875200.html"
"5224","Sir Cool Legend (Beau)",2500,"Gelding","15.3 hands","Bay","Minooka, Illinois","Star","1200 pounds","May-07","AQHA - American Quarter Horse Association (4969375)","Western Pleasure (Show) (Competed or Shown) Youth/4-H Horse (Competed or Shown) Halter (Competed or Shown) Showmanship (Champion) English Pleasure (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2888072.html"
"1946","Radjah du Thot",34500,"Gelding","","Bay","Prague Czech Republic, Florida","","","Apr-05","","Jumper (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2827993.html"
"936","Linas Lil Sapphire",1500,"Mare","15.2 hands","Bay","Hingham, Montana","Star, Strip,Snip, 2 rear hind socks","1200 pounds","Mar-05","AQHA - American Quarter Horse Association (4671821)","Brood Mare (Rank Not Applicable)",5,"http://www.equine.com/horses-for-sale/horse-ad-2886043.html"
"3751","Rudy",500,"Gelding","16.1 hands","Chestnut","Greenwich , Connecticut","White blaze","","Apr-00","","Eventing (Prospect) Dressage (Trained) Jumper (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2886052.html"
"452","GOTCHA HOT MONEY",12500,"Gelding","16.2 hands","Chestnut","HOWELL, Michigan","","1100 pounds","May-11","AQHA - American Quarter Horse Association (X0699685)","Youth/4-H Horse (Trained) English Pleasure (Trained) Hunter Under Saddle (Trained) Hunter (Prospect) Jumper (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2744633.html"
"1502","San Paolo",75000,"Gelding","15.3 hands","Chestnut","West Dundee, Illinois","","","Apr-08","USEF - United States Equestrian Federation (5269274)","Equitation  Jumper  Hunter (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2848967.html"
"7622","Playboys Big Bonanza",1500,"Gelding","16.0 hands","Sorrel","Cushing, Oklahoma","snip on his forehead","1200 pounds","Apr-00","AQHA - American Quarter Horse Association (3988616)","Trail Horse (Rank Not Applicable)",2,"http://www.equine.com/horses-for-sale/horse-ad-2825547.html"
"3556","Surina",13000,"Mare","","Bay","New Smyrna Beach, Florida","small star","","Jun-10","","Dressage (Prospect) Hunter (Prospect) Hunter Under Saddle (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2672336.html"
"4142","Pixie",0,"Mare","","Sorrel","Waleska, Georgia","","","Nov-11","","",2,"http://www.equine.com/horses-for-sale/horse-ad-2875085.html"
