"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"782","Citizen's Rock",7500,"Gelding","16.1 hands","Chestnut","Tabernacle, New Jersey","blaze with 3 socks","","Feb-05","","Jumper (Competed or Shown) Dressage (Competed or Shown) Eventing (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2721883.html"
"9062","Joe Whispering Smoke",4000,"Gelding","14.3 hands","Sorrel","Dillwyn, Virginia","","1100 pounds","Feb-00","AQHA - American Quarter Horse Association (4146085)","Cutting (Rank Not Applicable) Ranch Sorting (Rank Not Applicable) Trail Horse (Competed or Shown) Ranch Horse (Competed or Shown)",1,"http://www.equine.com/horses-for-sale/horse-ad-2751885.html"
"647","Kiss My Detail",14000,"Gelding","16.2 hands","Bay","Conneaut Lake, Pennsylvania","Star and Snip, Right fore sock, left hind sock, right hind pastern white, no other markings","","Feb-02","AQHA - American Quarter Horse Association (X0606501)","Hunter Under Saddle (Champion)",2,"http://www.equine.com/horses-for-sale/horse-ad-2124074.html"
"8278","Jerry",150,"Gelding","15.2 hands","Bay","Hanover, Massachusetts","","","Jan-99","","Beginner/Family (Trained) Hunter (Trained) Equitation (Trained) Lesson Horse (Trained) Youth/4-H Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2811884.html"
"555","COWGIRL",5500,"Mare","14.2 hands","Buckskin","Stockton, California","","1050 pounds","Apr-08","AQHA - American Quarter Horse Association (5274373)","Team Roping (Champion) Barrel Racing (Trained) Ranch Horse (Rank Not Applicable) Pole Bending (Trained) Calf Roping (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2669628.html"
"591","Imagine My Legacy",10000,"Gelding","16.0 hands","Buckskin","El Reno, Oklahoma","No Markings","1300 pounds","Jan-10","AQHA - American Quarter Horse Association (5300100)","Halter (Champion)",2,"http://www.equine.com/horses-for-sale/horse-ad-2843164.html"
"144","Chiko",1250,"Gelding","13.2 hands","Chestnut","Covington, Indiana","Star, Two Hind Socks, Flaxen Main & Tail","","Mar-07","","Trail Horse (Trained) Jumper (Prospect) Hunter Under Saddle (Prospect) Hunter (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2370073.html"
"1463","Maxs Royal Lily",1150,"Mare","","Bay","Larchwood, Iowa","Loud overo pattern","500 pounds","Jun-12","APHA - American Paint Horse Association (1016335)","",3,"http://www.equine.com/horses-for-sale/horse-ad-2850580.html"
"7887","Uptown Girl",500,"Mare","13.1 hands","Grey","woodbridge, Connecticut","","","Jan-01","","Jumper (Competed or Shown) Trail Horse (Trained) Youth/4-H Horse (Trained)",6,"http://www.equine.com/horses-for-sale/horse-ad-2819645.html"
"1182","SARENA H",35000,"Mare","6.1 hands","Black","Arlington, Washington","White sock","","Apr-02","","Dressage (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2881055.html"
"8307","Jewel",900,"Mare","","Other","Wadley, Alabama","white stocking feet, white blaze","","Jan-07","","Trail Horse (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2811810.html"
"1913","Gandy Clue Bar Music",6000,"Mare","15.2 hands","Sorrel","Dover, Ohio","star","","Mar-06","AQHA - American Quarter Horse Association ()","Trail Horse (Competed or Shown) Competitive Trail Competitions (Competed or Shown) Beginner/Family (Competed or Shown) English Pleasure (Competed or Shown) Western Pleasure (Show) (Champion)",1,"http://www.equine.com/horses-for-sale/horse-ad-2829806.html"
"3109","MLC Belfast Irish Eclipse",2000,"Stallion","14.2 hands","Roan","Bracebridge, Ontario, Canada","Bay roan, few hairs of white on forehead","350 pounds","May-12","CCPS ()","Driving (Prospect) Jumper (Prospect) Hunter (Prospect) Eventing (Prospect) Dressage (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2744714.html"
"3154","The Minute We Met",7000,"Mare","17.0 hands","Bay","Canal Winchester, Ohio","none","","Jun-04","AQHA - American Quarter Horse Association (x0637526)","English Pleasure (Competed or Shown) Youth/4-H Horse (Champion) Showmanship (Competed or Shown) Equitation (Competed or Shown) Horsemanship (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2742323.html"
"3651","Rocco",2500,"Gelding","15.0 hands","Pinto","Barboursville, West Virginia","","","Apr-09","","",1,"http://www.equine.com/horses-for-sale/horse-ad-2664394.html"
"778","Muchos Billy Boon",12000,"Stallion","14.3 hands","Buckskin","Lone Oak, Texas","","1100 pounds","Apr-97","AQHA - American Quarter Horse Association (3554416) FQHR (4985)","Breeding (Trained) Working Cow Horse (Competed or Shown) Ranch Sorting (Competed or Shown) Ranch Horse (Competed or Shown) Team Penning (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2752648.html"
"5767","Warrior",1800,"Gelding","15.3 hands","Other","Clinton, Tennessee","White with brown and black","1100 pounds","Jan-05","TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association ()","Gaited ",4,"http://www.equine.com/horses-for-sale/horse-ad-2880560.html"
"748","Milo",30000,"Gelding","13.2 hands","Brown","Flemington, New Jersey","star","","Apr-01","USEF - United States Equestrian Federation ()","Hunter (Champion) Equitation (Champion)",3,"http://www.equine.com/horses-for-sale/horse-ad-2846324.html"
"5100","Dun Bar Blazen Wind",10000,"Gelding","16.0 hands","Dun","Louisville, Mississippi","Sabino with blaze and stockings","1000 pounds","Jul-05","PtHA - Pinto Horse Association of America (144691)","Equitation (Competed or Shown) Horsemanship (Competed or Shown) Youth/4-H Horse (Competed or Shown) Western Pleasure (Show) (Competed or Shown) Hunter Under Saddle (Competed or Shown)",1,"http://www.equine.com/horses-for-sale/horse-ad-2755457.html"
"1984","Zezou",25000,"Gelding","16.1 hands","Grey","Orchard Park, New York","","","Aug-03","USEF - United States Equestrian Federation (5115283)","Jumper (Competed or Shown) Equitation (Competed or Shown) Hunter (Competed or Shown) Horsemanship (Competed or Shown) Eventing (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2827048.html"
"3889","Pebbles Bandanna",1100,"Mare","15.0 hands","Sorrel","Ravenna, Michigan","Star and hind sock","","Jun-96","","Trail Horse (Rank Not Applicable) Team Penning (Competed or Shown) Team Sorting (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2885194.html"
"2481","Masquerade",5000,"Mare","15.2 hands","Bay","Queen Anne, Maryland","Big Star, Snip, Hind Sock","","Feb-07","USEF - United States Equestrian Federation ()","Lesson Horse (Trained) Field Hunter (Trained) Hunter (Trained)",1,"http://www.equine.com/horses-for-sale/horse-ad-2801716.html"
"4017","King Mac McCue",4500,"Gelding","15.2 hands","Palomino","Buffalo , Minnesota","","","Apr-02","APHA - American Paint Horse Association (680963)","Western Pleasure (Competed or Shown) Team Penning (Competed or Shown) Working Cow Horse (Competed or Shown) Trail Horse (Trained) Horsemanship (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2881537.html"
"7809","Wind Shadows Reinvestment",2500,"Mare","14.3 hands","Black","Nampa, Idaho","none","","Apr-09","TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association ()","Trail Horse (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2821311.html"
"8313","",750,"Mare","13.0 hands","Pinto","Dayton, Ohio","Tri-color","700 pounds","Jan-05","","Youth/4-H Horse (Trained) Trail Horse (Trained) Hunter (Prospect) Western Riding (Prospect) Lesson Horse (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2811801.html"
"6205","Siri",3000,"Mare","16.0 hands","Grey","Moretown, Vermont","","1075 pounds","May-06","","Eventing (Prospect) Hunter (Prospect) Field Hunter (Prospect) Dressage (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2851369.html"
"5442","Pretzel",1000,"Mare","11.2 hands","Bay","Stockton, New Jersey","","","Jan-98","","",2,"http://www.equine.com/horses-for-sale/horse-ad-2885173.html"
"532","Seven 'n' Seven",30000,"Gelding","16.3 hands","Black","Middleburg, Maryland","3 white socks","","Apr-09","Oldenburg Horse Breeders Society (DE433339850509)","Dressage (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2219179.html"
"8015","Velvet",1500,"Mare","15.2 hands","Chestnut","Brandon, Vermont","small star and 2 small hind socks","","Jan-01","","Jumper (Competed or Shown) English Pleasure (Trained) Trail Horse (Rank Not Applicable)",7,"http://www.equine.com/horses-for-sale/horse-ad-2817003.html"
"1198","Not named yet",6500,"Stallion","","Buckskin","Marbury, Alabama","Star on forehead","","Apr-13","FSHR - Friesian Sport Horse Registry ()","",1,"http://www.equine.com/horses-for-sale/horse-ad-2880515.html"
"4629","Dugan",2500,"Gelding","15.3 hands","Bay","Fallbrook, California","White Star","1000 pounds","Feb-03","","Barrel Racing (Competed or Shown) Trail Horse (Trained) Endurance Riding (Prospect) Competitive Trail Competitions (Prospect) Country Pleasure (Trained)",6,"http://www.equine.com/horses-for-sale/horse-ad-2837716.html"
"2838","Magic Dominos Lady",2950,"Mare","14.3 hands","Grey","Adams, Tennessee","","","Apr-07","AHA - Arabian Horse Association (631527)","Dressage (Trained) Breeding (Rank Not Applicable) Endurance Riding (Prospect) Trail Horse (Prospect) Hunter (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2757591.html"
"3488","Callaway's No Exceptions",700,"Mare","15.1 hands","Chestnut","georgetown , Kentucky","","1000 pounds","Jun-91","ASHA - American Saddlebred Horse Association (120977)","Gaited (Trained) Lesson Horse (Trained) Brood Mare (Champion)",3,"http://www.equine.com/horses-for-sale/horse-ad-2696686.html"
"5839","lookin for cowgirls aka gunner",5500,"Gelding","15.1 hands","Buckskin","rochester, Massachusetts","","","Apr-01","AQHA - American Quarter Horse Association ()","Beginner/Family (Trained) Western Pleasure (Trained) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2879931.html"
"8067","Innishfael Danu",4725,"Mare","15.0 hands","Buckskin","Unity, Saskatchewan, Canada","3 stockings, bald face, and 2 belly spots","","May-08","PtHA - Pinto Horse Association of America () CPHA - Canadian Partbred Arabian Registry ()","Breeding (Competed or Shown) Competitive Trail Competitions (Prospect) Pole Bending (Prospect) Barrel Racing (Prospect) Western Pleasure (Show) (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2816105.html"
"6350","bandit",1500,"Gelding","14.3 hands","Chestnut","cottonwood, California","white star","1100 pounds","Mar-06","","Beginner/Family (Trained) Lesson Horse (Trained) Western Riding (Trained) Trail Horse (Trained) Youth/4-H Horse (Trained)",1,"http://www.equine.com/horses-for-sale/horse-ad-2849730.html"
"33","Starbucks Coffee",6200,"Gelding","","Palomino","Amherst, Virginia","white star,snip and 1 white foot","","Jun-05","","Competitive Trail Competitions (Rank Not Applicable) Endurance Riding (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2883657.html"
"4688","Jana Ebony Roll",4000,"Mare","","Black","Williamsburg, Pennsylvania","","","May-11","AQHA - American Quarter Horse Association (5373228)","Trail Horse (Prospect) Ranch Horse (Prospect) Calf Roping (Prospect) Barrel Racing (Prospect) Breeding (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2832400.html"
"5392","REBA",1700,"Stallion","15.1 hands","Brown","Alabama, Alabama","","","Feb-98","","Racing (Champion) Barrel Racing (Trained) Companion Only (Trained) Country Pleasure (Trained) Western Riding (Champion)",2,"http://www.equine.com/horses-for-sale/horse-ad-2885970.html"
"4133","Blue Roan Pony",6000,"Mare","13.1 hands","Roan","Holly, Michigan","stripe two hind socks","","Feb-07","","Hunter (Champion)",4,"http://www.equine.com/horses-for-sale/horse-ad-2828083.html"
"3437","Ruslers Paint Tensity",5500,"Gelding","16.0 hands","Sorrel","Plymoth, Wisconsin","Overo","","Apr-06","APHA - American Paint Horse Association (865544)","Hunter Under Saddle (Competed or Shown) Horsemanship (Competed or Shown) Equitation (Competed or Shown) Showmanship (Competed or Shown) Hunter (Competed or Shown)",1,"http://www.equine.com/horses-for-sale/horse-ad-2716080.html"
"3578","Jewel",20000,"Mare","16.0 hands","Bay","Denver, Colorado","","","Apr-99","CSHA - Canadian Sport Horse Association (AB-CAN-APPR1919-99A)","Jumper (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-1989007.html"
"1544","Love N San Marcos",1500,"Mare","15.1 hands","Grulla","Burnet, Texas","","1200 pounds","Mar-04","APHA - American Paint Horse Association (773300) AQHA - American Quarter Horse Association (4486713)","Brood Mare (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2848008.html"
"1240","Shyla",1800,"Mare","14.2 hands","Other","Barnstead, New Hampshire","","","Jan-03","","English Pleasure (Prospect) Hunter Under Saddle (Prospect) Pole Bending (Prospect) Barrel Racing (Prospect) Youth/4-H Horse (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2879858.html"
"5311","Pixie Dust",0,"Mare","11.2 hands","Pinto","Plymouth, New Hampshire","black and white","","Jan-03","","Hunter (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2886725.html"
"1855","Sweet Sacrifice",5500,"Mare","15.0 hands","Sorrel","Warsaw, Missouri","four Stalkings, body color, apron face","","Mar-05","APHA - American Paint Horse Association (829937)","Hunter Under Saddle (Prospect) Western Pleasure (Show) (Competed or Shown) Brood Mare (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2724130.html"
"240","Shesa Hot and Fancy",6000,"Mare","","Bay","Williamsburg, Ohio","","","Apr-09","AQHA - American Quarter Horse Association (5206791)","Western Pleasure (Competed or Shown) Hunter Under Saddle (Prospect) Showmanship (Competed or Shown) Halter (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2822025.html"
"4203","SV The Final Gun",5500,"Mare","14.3 hands","Buckskin","Weyauwega, Wisconsin","Large Star","1000 pounds","Apr-07","AQHA - American Quarter Horse Association (5003895)","Team Sorting (Rank Not Applicable) Western Pleasure (Competed or Shown) Trail Horse (Trained) Team Penning (Rank Not Applicable) Reining (Trained)",1,"http://www.equine.com/horses-for-sale/horse-ad-2853494.html"
"5753","Rose",500,"Mare","15.0 hands","Chestnut","Bloomington, Indiana","Blaze, white sock, white stocking","","Mar-12","","English Pleasure (Prospect) Western Pleasure (Prospect) Youth/4-H Horse (Prospect)",6,"http://www.equine.com/horses-for-sale/horse-ad-2881046.html"
"6639","Sunny",800,"Mare","15.0 hands","Palomino","Corvallis, Montana","Star, strip, snip; white right hind sock.","1000 pounds","May-00","AQHA - American Quarter Horse Association (4020407)","Brood Mare  Western Pleasure (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2839147.html"
"9139","Sue City Blue",1500,"Mare","15.3 hands","Grey","Penn Yan, New York","","","Apr-09","JC - Jockey Club (0938625)","Beginner/Family (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2733528.html"
"5179","Isis (ruby)",5000,"Mare","16.1 hands","Bay","Saginaw, Michigan","White Stripe","1000 pounds","Jan-05","","Dressage (Prospect) Hunter (Prospect)",6,"http://www.equine.com/horses-for-sale/horse-ad-2799630.html"
"1743","Babydoll",1200,"Mare","14.0 hands","Bay","Port Charlotte, Florida","","","Feb-00","","Barrel Racing ",3,"http://www.equine.com/horses-for-sale/horse-ad-2839143.html"
"5702","Lady Yorktown",2500,"Mare","15.1 hands","Sorrel","Oklahoma City, Oklahoma","Tobiano, Blaze","","Jan-01","","Gaited (Trained) Trail Horse (Trained) Harness (Prospect)",6,"http://www.equine.com/horses-for-sale/horse-ad-2881518.html"
"7158","Pending",6500,"Stallion","13.0 hands","Sorrel","Selma, North Carolina","Blue eyes, left hind sock, and wide blaze","600 pounds","Apr-12","AQHA - American Quarter Horse Association (pending) NRHA National Reining Horse Association (pending)","Reining ",2,"http://www.equine.com/horses-for-sale/horse-ad-2832481.html"
"5735","EL REY",4500,"Stallion","13.3 hands","Black","Norco, California","none... pure black","550 pounds","Feb-13","IALHA - International Andalusian & Lusitano Horse Association ()","Breeding  Dressage  Eventing  Jumper  Youth/4-H Horse ",3,"http://www.equine.com/horses-for-sale/horse-ad-2881083.html"
"388","Whistle",1500,"Mare","","Other","Leonard, Texas","","","Jan-00","","Barrel Racing (Prospect) Country Pleasure (Trained) Beginner/Family (Trained) Trail Horse (Trained) Youth/4-H Horse (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2762464.html"
"2485","Diaman H Lucky Joel",1950,"Gelding","15.0 hands","Bay","New Virginia, Iowa","4 socks","1000 pounds","May-10","AQHA - American Quarter Horse Association (X00690623)","Youth/4-H Horse (Prospect) Ranch Horse (Prospect) Calf Roping (Prospect) Barrel Racing (Prospect) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2801703.html"
"326","Royal Sudden Impulse",5500,"Gelding","15.2 hands","Chestnut","Watervliet, Michigan","","","Apr-10","AQHA - American Quarter Horse Association (5361468) APHA - American Paint Horse Association (998,578)","Western Pleasure (Show) (Prospect) Western Pleasure (Prospect) Showmanship (Prospect) English Pleasure (Prospect) Ranch Horse (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2668539.html"
"166","LEGEND",15000,"Gelding","15.0 hands","Buckskin","Adair, Oklahoma","All black points","1000 pounds","May-04","","Horsemanship (Trained) Gaited (Trained) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2840735.html"
"4253","Skye",500,"Mare","14.1 hands","Sorrel","Dewey, Illinois","","","Jan-07","","Trail Horse (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2602945.html"
"7064","Barnaby",11999,"Gelding","15.3 hands","Grey","aiken, South Carolina","splotch on neck","","Jan-05","","Field Hunter (Trained) Eventing (Trained) Trail Horse (Trained) Dressage (Champion)",2,"http://www.equine.com/horses-for-sale/horse-ad-2838255.html"
"3304","Hayfield Sequin Sparkler",20000,"Mare","16.1 hands","Pinto","Westhampton, Massachusetts","","1420 pounds","Jan-00","PtHA - Pinto Horse Association of America () ADHA ()","Halter (Champion) Brood Mare (Rank Not Applicable)",4,"http://www.equine.com/horses-for-sale/horse-ad-2722541.html"
"2885","Dun and Dirty",12500,"Gelding","","Dun","Kearney, Nebraska","","","Apr-00","AQHA - American Quarter Horse Association (4016915)","Team Roping (Trained) Barrel Racing (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2754400.html"
"6695","Nu cheyenne fooler (pending)",750,"Stallion","","Bay","ontario, Wisconsin","","","Apr-13","","Breeding (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2843155.html"
"4302","This Blue is Smokin",5000,"Mare","16.1 hands","Chestnut","Tampa, Florida","rear hind white sock","1000 pounds","Feb-03","AQHA - American Quarter Horse Association () PtHA - Pinto Horse Association of America ()","Hunter Under Saddle (Competed or Shown) Horsemanship (Competed or Shown) Showmanship (Competed or Shown) Equitation (Competed or Shown) Brood Mare (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2850519.html"
"2432","Coastline (L.A.)",10000,"Gelding","15.3 hands","Chestnut","Zionsville, Indiana","White blaze","","Feb-00","","Dressage (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2803081.html"
"7898","Hemingway",4500,"Gelding","","Chestnut","Milton, Vermont","","","Jan-01","","Lesson Horse  Jumper  Hunter Under Saddle ",2,"http://www.equine.com/horses-for-sale/horse-ad-2819604.html"
"4856","Pirate",3800,"Gelding","12.0 hands","Grey","Coopersburg, Pennsylvania","","","Jan-97","WPCSA - Welsh Pony and Cob Society of America ()","Showmanship (Champion) Jumper (Champion) Youth/4-H Horse (Champion) Hunter Under Saddle (Champion) Lesson Horse (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2824791.html"
"6895","Sargeant",9500,"Gelding","17.0 hands","Bay","Boyne City , Michigan","LH coronet, star","1300 pounds","Mar-97","JC - Jockey Club ()","Eventing (Competed or Shown) Pole Bending (Competed or Shown) Barrel Racing (Competed or Shown) Hunter Under Saddle (Competed or Shown) Dressage (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2840065.html"
"6036","Doc",5000,"Gelding","15.1 hands","Buckskin","Corvallis , Montana","White Blaze","1250 pounds","Apr-00","AQHA - American Quarter Horse Association ()","Ranch Horse (Trained) Reined Cow Horse (Trained) Ranch Sorting (Trained) Working Cow Horse (Trained) Trail Horse (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2855116.html"
"6857","Lady Godiva",1175,"Mare","12.0 hands","Silver Dapple","Ridgely, Maryland","Blaze, 4 White Socks","","Sep-12","RMHA - Rocky Mountain Horse Association Official ()","Gaited (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2840188.html"
"4251","Ginger",500,"Mare","15.0 hands","Sorrel","Dewey, Illinois","Flaxen mane and tail","","Jan-89","","Not Applicable ",2,"http://www.equine.com/horses-for-sale/horse-ad-2602939.html"
"6129","Sir Wobbles",2500,"Gelding","15.2 hands","Brown","Bandera, Texas","tobiano pattern","","Mar-11","APHA - American Paint Horse Association (1020690)","",4,"http://www.equine.com/horses-for-sale/horse-ad-2854086.html"
"3612","Every Friggin Detail",40000,"Gelding","17.0 hands","Brown","Athens, Pennsylvania","Snip , left hind Pastern","1200 pounds","Feb-07","AQHA - American Quarter Horse Association ()","Hunter Under Saddle (Trained)",5,"http://www.equine.com/horses-for-sale/horse-ad-2668487.html"
"3928","Toby",1000,"Gelding","15.0 hands","Bay","Willard, Missouri","","1100 pounds","Jan-95","","Trail Horse (Trained) Barrel Racing (Prospect) Hunter (Prospect) Ranch Horse (Prospect) Working Cow Horse (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2884385.html"
"6225","moose",400,"Gelding","14.0 hands","Pinto","calverton, New York","brown and white","850 pounds","May-96","","Trail Horse ",2,"http://www.equine.com/horses-for-sale/horse-ad-2851327.html"
"8769","Vistosa",8500,"Mare","16.0 hands","Bay","Madison, Virginia","star","1300 pounds","Apr-04","IALHA - International Andalusian & Lusitano Horse Association ()","Lesson Horse (Trained) Dressage (Competed or Shown) Field Hunter (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2308827.html"
"6917","Sonny",1500,"Gelding","15.0 hands","Sorrel","Fennimore, Wisconsin","","1000 pounds","Jan-98","","Trail Horse (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2839946.html"
"128","Black Jack",3000,"Gelding","","Black","Delta, Colorado","none","","Mar-12","","Not Applicable ",4,"http://www.equine.com/horses-for-sale/horse-ad-2848091.html"
"484","Golden Ticket",70000,"Gelding","17.1 hands","Chestnut","Litchfield, Connecticut","","","Apr-04","USEF - United States Equestrian Federation (5070619)","Dressage (Prospect) Equitation (Competed or Shown) Jumper (Competed or Shown)",6,"http://www.equine.com/horses-for-sale/horse-ad-2722610.html"
"1379","Hammer",5000,"Gelding","15.0 hands","Dun","Elk River, Minnesota","Red Dun, striping on legs, beautiful feathering on legs, magnificent tail","1100 pounds","Apr-07","","Eventing (Prospect) Pleasure Driving (Trained) Trail Horse (Trained) English Pleasure (Trained) Western Pleasure (Show) (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2854083.html"
"5255","Extended Investment",5000,"Gelding","16.2 hands","Sorrel","Terre Haute, Indiana","","","Feb-07","AQHA - American Quarter Horse Association ()","Hunter Under Saddle  Showmanship  Western Pleasure  Trail Horse ",5,"http://www.equine.com/horses-for-sale/horse-ad-2887974.html"
"7486","Talk of the Town aka Libby",0,"Mare","14.2 hands","Roan","Saluda, Virginia","Blaze, Roan Spots, Tobiano","","Jun-08","","Hunter (Champion) Equitation (Champion) Lesson Horse (Rank Not Applicable) Jumper (Trained) Dressage (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2827121.html"
"7554","Socks",750,"Gelding","12.2 hands","Roan","Lafayette, Indiana","","","May-96","","Beginner/Family ",3,"http://www.equine.com/horses-for-sale/horse-ad-2826180.html"
"7602","Ryszard",15000,"Gelding","16.3 hands","Black","Gainesville, Florida","star, stripe, sock","1200 pounds","Jan-11","AHS - American Hanoverian Society ()","Dressage (Prospect) Hunter Under Saddle (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2825622.html"
"2701","Georgia Darlin",2000,"Mare","15.2 hands","Sorrel","Snow Camp , North Carolina","Blaze, Socks","","Jan-02","AQHA - American Quarter Horse Association (4210630) APHA - American Paint Horse Association (705,669)","Trail Horse (Champion) Competitive Trail Competitions (Competed or Shown) Cowboy Mounted Shooting (Prospect) Youth/4-H Horse (Prospect) Brood Mare (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2773732.html"
"5856","Scarlette",400,"Mare","14.2 hands","Black","Lancaster, South Carolina","","","Jun-04","","Not Applicable ",4,"http://www.equine.com/horses-for-sale/horse-ad-2879880.html"
"4190","TripTheLightFantastic",25000,"Gelding","16.2 hands","Bay","Stephens City, Virginia","Large Blaze, 2 front socks, 2 hind stockings","1200 pounds","Apr-11","USEF - United States Equestrian Federation (5201931) Oldenburg Registry NA (Premium) (840017 33-99675-11)","Eventing (Prospect) Dressage (Prospect) Jumper (Prospect) Hunter (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2854081.html"
"8569","Flower",1500,"Mare","14.1 hands","Dun","Stephenville, Texas","Tobiano w/blue eyes","","Mar-06","","Beginner/Family (Trained) Lesson Horse (Prospect) Trail Horse (Trained) Youth/4-H Horse (Trained) Ranch Horse (Trained)",1,"http://www.equine.com/horses-for-sale/horse-ad-2803224.html"
"5487","Sadie",2500,"Mare","16.1 hands","Palomino","Hudson, Florida","","1550 pounds","Mar-06","","Draft (Rank Not Applicable) Western Pleasure (Rank Not Applicable) English Pleasure (Rank Not Applicable) Trail Horse (Rank Not Applicable) Driving (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2884476.html"
"5446","Indy",10000,"Gelding","16.0 hands","Bay","bush, Louisiana","socks","","May-07","","Hunter (Prospect) Jumper (Prospect) Equitation (Prospect) Dressage (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2885167.html"
"9158","Gone West",8500,"Gelding","15.3 hands","Palomino","Temecula, California","","","Apr-01","IAHA - Half-Arabian Horse Association ()","Western Pleasure (Champion) Western Pleasure (Show) (Champion) Youth/4-H Horse (Trained) Dressage (Prospect) Equitation (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2725451.html"
"6871","Teninas Chrome",4800,"Gelding","15.1 hands","Pinto","Mechanicsville, Maryland","sorrel/white pain loud color","","Jan-03","APHA - American Paint Horse Association ()","Ranch Horse (Competed or Shown) Ranch Sorting (Competed or Shown) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2840139.html"
"3870","Shorty",1000,"Gelding","13.2 hands","Bay","Prentice, Wisconsin","","","Jan-98","","Trail Horse (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2885884.html"
"6777","Sir Secret",2200,"Gelding","15.3 hands","Brown","Louisville, Colorado","","","Apr-97","JC - Jockey Club (9748644)","",7,"http://www.equine.com/horses-for-sale/horse-ad-2840861.html"
"8348","Blacklord Sirocco",4000,"Gelding","15.0 hands","Black","Cullman, Alabama","None","1000 pounds","Mar-99","AHA - Arabian Horse Association (0561543)","Trail Horse  English Pleasure  Western Pleasure (Show)  Halter  Barrel Racing ",3,"http://www.equine.com/horses-for-sale/horse-ad-2811746.html"
